期間,株式コード,上場コード,銘柄名称,終値
2023/04,1698,011,上場インデックスファンド日本高配当（東証,2217.5
2023/04,1699,011,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油イ,322.4
2023/04,1701,,昭和ＫＤＥ,
2023/04,1711,012,ＳＤＳホールディングス,312
2023/04,1712,011,ダイセキ環境ソリューション,944
2023/04,1716,011,第一カッター興業,1245
2023/04,1717,012,明豊ファシリティワークス,779
2023/04,1718,012,美樹工業,3995
2023/04,1719,011,安藤・間,896
2023/04,1720,011,東急建設,719
2023/04,1721,011,コムシスホールディングス,2598
2023/04,1722,,ミサワホーム,
2023/04,1723,012,日本電技,3535
2023/04,1724,012,シンクレイヤ,672
2023/04,1725,,フジタ,
2023/04,1726,011,ビーアールホールディングス,376
2023/04,1730,012,麻生フオームクリート,403
2023/04,1736,012,オーテック,2180
2023/04,1737,,三井金属エンジニアリング,
2023/04,1739,014,メルディアＤＣ,872
2023/04,1740,,極東興和,
2023/04,1742,,セコムテクノサービス,
2023/04,1743,012,コーアツ工業,1217
2023/04,1746,,光和建設,
2023/04,1752,,富士通ネットワークソリューショ,
2023/04,1755,,ＪＦＥ工建,
2023/04,1757,012,中小企業ホールディングス,32
2023/04,1758,012,太洋基礎工業,8770
2023/04,1762,011,高松コンストラクショングループ,2205
2023/04,1764,012,工藤建設,2605
2023/04,1766,011,東建コーポレーション,7890
2023/04,1767,,ＯＫＩクロステック,
2023/04,1768,012,ソネック,973
2023/04,1770,012,藤田エンジニアリング,950
2023/04,1775,012,富士古河Ｅ＆Ｃ,3675
2023/04,1776,012,三井住建道路,863
2023/04,1778,,古河総合設備,
2023/04,1780,011,ヤマウラ,1239
2023/04,1783,012,アジアゲートホールディングス,59
2023/04,1786,011,オリエンタル白石,329
2023/04,1787,012,ナカボーテック,5000
2023/04,1788,012,三東工業社,3350
2023/04,1789,012,ＥＴＳホールディングス,615
2023/04,1791,,ニチハマテックス,
2023/04,1792,,みらい建設グループ,
2023/04,1793,012,大本組,6600
2023/04,1795,012,マサル,3260
2023/04,1796,,トヨタウッドユーホーム,
2023/04,1798,012,守谷商会,2300
2023/04,1799,012,第一建設工業,1413
2023/04,1801,011,大成建設,4615
2023/04,1802,011,大林組,1132
2023/04,1803,011,清水建設,829
2023/04,1804,,佐藤工業,
2023/04,1805,011,飛島建設,1138
2023/04,1806,,ＡＣリアルエステート,
2023/04,1807,012,佐藤渡辺,2474
2023/04,1808,011,長谷工コーポレーション,1657
2023/04,1809,,冨士工,
2023/04,1810,011,松井建設,712
2023/04,1811,012,銭高組,3400
2023/04,1812,011,鹿島,1795
2023/04,1813,011,不動テトラ,1783
2023/04,1814,011,大末建設,1225
2023/04,1815,011,鉄建建設,1928
2023/04,1816,,安藤建設,
2023/04,1817,,ＫＣ,
2023/04,1818,,日産建設,
2023/04,1819,,日鉄テックスエンジ,
2023/04,1820,011,西松建設,3570
2023/04,1821,011,三井住友建設,385
2023/04,1822,011,大豊建設,3900
2023/04,1823,,住友建設,
2023/04,1824,,前田建設工業,
2023/04,1825,,環境建設,
2023/04,1826,012,佐田建設,485
2023/04,1827,012,ナカノフドー建設,412
2023/04,1828,012,田辺工業,966
2023/04,1829,,大和建設,
2023/04,1832,,岡崎工業,
2023/04,1833,011,奥村組,3330
2023/04,1834,,大和小田急建設,
2023/04,1835,011,東鉄工業,2711
2023/04,1836,,大日本土木,
2023/04,1837,,青山管財,
2023/04,1838,,古久根建設,
2023/04,1839,,真柄建設,
2023/04,1840,012,土屋ホールディングス,196
2023/04,1841,012,サンユー建設,908
2023/04,1842,,島藤建設工業,
2023/04,1843,,多田建設,
2023/04,1844,012,大盛工業,193
2023/04,1846,,鈴縫工業,
2023/04,1847,011,イチケン,1920
2023/04,1848,012,富士ピー・エス,435
2023/04,1849,,東海興業,
2023/04,1850,012,南海辰村建設,334
2023/04,1851,,大木建設,
2023/04,1852,011,浅沼組,3120
2023/04,1853,012,森組,299
2023/04,1854,,新井組,
2023/04,1855,,ＴＣプロパティーズ,
2023/04,1858,,井上工業,
2023/04,1859,,辰村組,
2023/04,1860,011,戸田建設,793
2023/04,1861,011,熊谷組,2886
2023/04,1862,,横河工事,
2023/04,1863,,テトラ,
2023/04,1865,,青木あすなろ建設,
2023/04,1866,012,北野建設,3240
2023/04,1867,012,植木組,1327
2023/04,1868,,三井ホーム,
2023/04,1870,011,矢作建設工業,859
2023/04,1871,011,ピーエス三菱,675
2023/04,1872,,アゼル,
2023/04,1873,011,日本ハウスホールディングス,390
2023/04,1875,,青木マリーン,
2023/04,1877,,川田建設,
2023/04,1878,011,大東建託,12870
2023/04,1879,011,新日本建設,1053
2023/04,1880,,Ｔｕｒｔｌｅ　Ｃｏｎｓｕｌｔｉ,
2023/04,1881,,ＮＩＰＰＯ,
2023/04,1882,011,東亜道路工業,4330
2023/04,1883,,前田道路,
2023/04,1884,011,日本道路,8050
2023/04,1885,011,東亜建設工業,2945
2023/04,1886,,青木建設,
2023/04,1887,011,日本国土開発,615
2023/04,1888,011,若築建設,4295
2023/04,1889,,あおみ建設,
2023/04,1890,011,東洋建設,973
2023/04,1891,,大都工業,
2023/04,1893,011,五洋建設,659
2023/04,1895,,大成ロテック,
2023/04,1896,,大林道路,
2023/04,1897,012,金下建設,2800
2023/04,1898,011,世紀東急工業,935
2023/04,1899,011,福田組,4835
2023/04,1900,,白石,
2023/04,1904,012,大成温調,2020
2023/04,1905,012,テノックス,968
2023/04,1907,,東北ミサワホーム,
2023/04,1909,012,日本ドライケミカル,1865
2023/04,1911,011,住友林業,2925
2023/04,1914,012,日本基礎技術,537
2023/04,1916,,日成ビルド工業,
2023/04,1917,,ニツセキハウス工業,
2023/04,1919,,ヤマダホームズ,
2023/04,1920,,殖産住宅,
2023/04,1921,012,巴コーポレーション,442
2023/04,1922,,大成ユーレック,
2023/04,1923,,ミサワホーム,
2023/04,1924,,パナソニックホームズ,
2023/04,1925,011,大和ハウス工業,3457
2023/04,1926,011,ライト工業,2003
2023/04,1928,011,積水ハウス,2790
2023/04,1929,011,日特建設,1008
2023/04,1930,011,北陸電気工事,826
2023/04,1931,,日本電通,
2023/04,1932,,ミライト・テクノロジーズ,
2023/04,1933,,ＳＹＳＫＥＮ,
2023/04,1934,011,ユアテック,823
2023/04,1935,,ＴＴＫ,
2023/04,1937,,西部電気工業,
2023/04,1938,011,日本リーテック,1275
2023/04,1939,011,四電工,1951
2023/04,1940,,つうけん,
2023/04,1941,011,中電工,2225
2023/04,1942,011,関電工,1022
2023/04,1943,,ミライト,
2023/04,1944,011,きんでん,1850
2023/04,1945,011,東京エネシス,911
2023/04,1946,011,トーエネック,3465
2023/04,1947,,日本コムシス,
2023/04,1948,012,弘電社,4355
2023/04,1949,011,住友電設,2819
2023/04,1950,011,日本電設工業,1756
2023/04,1951,011,エクシオグループ,2519
2023/04,1952,011,新日本空調,1949
2023/04,1954,011,日本工営,3780
2023/04,1955,,東電通,
2023/04,1956,,ＮＤＳ,
2023/04,1957,,保安工業,
2023/04,1958,,サンワコムシスエンジニアリング,
2023/04,1959,011,九電工,3615
2023/04,1960,012,サンテック,629
2023/04,1961,011,三機工業,1502
2023/04,1962,,エルゴテック,
2023/04,1963,011,日揮ホールディングス,1689
2023/04,1964,011,中外炉工業,1792
2023/04,1965,012,テクノ菱和,901
2023/04,1966,012,高田工業所,1370
2023/04,1967,012,ヤマト,966
2023/04,1968,011,太平電業,4130
2023/04,1969,011,高砂熱学工業,2276
2023/04,1970,,日立プラントテクノロジー,
2023/04,1971,012,中央ビルト工業,524
2023/04,1972,012,三晃金属工業,3995
2023/04,1973,011,ＮＥＣネッツエスアイ,1690
2023/04,1974,,宮地エンジニアリング,
2023/04,1975,011,朝日工業社,2435
2023/04,1976,011,明星工業,936
2023/04,1978,,アタカ大機,
2023/04,1979,011,大気社,3670
2023/04,1980,011,ダイダン,2454
2023/04,1981,012,協和日成,1421
2023/04,1982,011,日比谷総合設備,2252
2023/04,1983,,東芝プラントシステム,
2023/04,1987,,ソルコム,
2023/04,1988,,ショーボンド建設,
2023/04,1989,,北陸電話工事,
2023/04,1992,012,神田通信機,1596
2023/04,1993,,ニッタン,
2023/04,1994,012,高橋カーテンウォール工業,466
2023/04,1996,,三菱建設,
2023/04,1997,012,暁飯島工業,1350
2023/04,2001,011,ニップン,1769
2023/04,2002,011,日清製粉グループ本社,1649
2023/04,2003,012,日東富士製粉,4500
2023/04,2004,011,昭和産業,2676
2023/04,2006,,東福製粉,
2023/04,2008,,増田製粉所,
2023/04,2009,012,鳥越製粉,622
2023/04,2051,,日本農産工業,
2023/04,2052,,協同飼料,
2023/04,2053,011,中部飼料,1113
2023/04,2055,012,日和産業,253
2023/04,2056,,日本配合飼料,
2023/04,2057,,雪印種苗,
2023/04,2059,,ユニ・チャームペットケア,
2023/04,2060,011,フィード・ワン,740
2023/04,2102,,台糖,
2023/04,2107,012,東洋精糖,920
2023/04,2108,011,日本甜菜製糖,1726
2023/04,2109,011,ＤＭ三井製糖ホールディングス,2280
2023/04,2111,,フジ製糖,
2023/04,2112,012,塩水港精糖,201
2023/04,2114,012,フジ日本精糖,504
2023/04,2116,,日新製糖,
2023/04,2117,011,ウェルネオシュガー,1721
2023/04,2120,011,ＬＩＦＵＬＬ,220
2023/04,2121,011,ＭＩＸＩ,2870
2023/04,2122,012,インタースペース,1553
2023/04,2123,,シミックファーマサイエンス,
