期間,株式コード,上場コード,銘柄名称,取引所
2023/04,1687,13,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,1
2023/04,1688,13,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,1
2023/04,1689,13,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信,1
2023/04,1690,13,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投,1
2023/04,1691,13,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信,1
2023/04,1692,13,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投,1
2023/04,1693,13,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,1
2023/04,1694,13,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信,1
2023/04,1695,13,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,1
2023/04,1696,13,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投,1
2023/04,1697,13,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,1
2023/04,1698,11,上場インデックスファンド日本高配当（東証,1
2023/04,1699,11,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油イ,1
2023/04,1701,,昭和ＫＤＥ,
2023/04,1702,,共立マテリアル,
2023/04,1710,,ジェイオーグループホールディン,
2023/04,1711,12,ＳＤＳホールディングス,1
2023/04,1712,11,ダイセキ環境ソリューション,1
2023/04,1715,,ウエストエネルギーソリューショ,
2023/04,1716,11,第一カッター興業,1
2023/04,1717,12,明豊ファシリティワークス,1
2023/04,1718,12,美樹工業,1
2023/04,1719,11,安藤・間,1
2023/04,1720,11,東急建設,1
2023/04,1721,11,コムシスホールディングス,1
2023/04,1722,,ミサワホーム,
2023/04,1723,12,日本電技,1
2023/04,1724,12,シンクレイヤ,1
2023/04,1725,,フジタ,
2023/04,1726,11,ビーアールホールディングス,1
2023/04,1728,,ミサワホーム中国,
2023/04,1729,,三光ソフランホールディングス,
2023/04,1730,12,麻生フオームクリート,1
2023/04,1731,,ティエムシー,
2023/04,1734,80,北弘電社,8
2023/04,1735,,伊田テクノス,
2023/04,1736,12,オーテック,1
2023/04,1737,,三井金属エンジニアリング,
2023/04,1738,32,ニットー,3
2023/04,1739,14,メルディアＤＣ,1
2023/04,1740,,極東興和,
2023/04,1741,,ミサワホームサンイン,
2023/04,1742,,セコムテクノサービス,
2023/04,1743,12,コーアツ工業,1
2023/04,1744,,キョーエイ産業,
2023/04,1745,,ミサワホーム東海,
2023/04,1746,,光和建設,
2023/04,1747,,ミサワホーム九州,
2023/04,1748,,ミサワホーム北日本,
2023/04,1749,,大和通信建設,
2023/04,1750,,カナック,
2023/04,1751,,日立プラントサービス,
2023/04,1752,,富士通ネットワークソリューショ,
2023/04,1753,,土屋ツーバイホーム,
2023/04,1754,,東新住建,
2023/04,1755,,ＪＦＥ工建,
2023/04,1756,,エクシオテック,
2023/04,1757,12,中小企業ホールディングス,1
2023/04,1758,12,太洋基礎工業,1
2023/04,1759,,ジオトップ,
2023/04,1761,,ミサワホーム北海道,
2023/04,1762,11,高松コンストラクショングループ,1
2023/04,1763,,北陸ミサワホーム,
2023/04,1764,12,工藤建設,1
2023/04,1765,,イビデングリーンテック,
2023/04,1766,11,東建コーポレーション,1
2023/04,1767,,ＯＫＩクロステック,
2023/04,1768,12,ソネック,1
2023/04,1769,,ピコイ,
2023/04,1770,12,藤田エンジニアリング,1
2023/04,1771,60,日本乾溜工業,6
2023/04,1772,,東北エンタープライズ,
2023/04,1773,13,ワイ・ティー・エル,1
2023/04,1774,,機動建設工業,
2023/04,1775,12,富士古河Ｅ＆Ｃ,1
2023/04,1776,12,三井住建道路,1
2023/04,1777,32,川崎設備工業,3
2023/04,1778,,古河総合設備,
2023/04,1779,,松本建工,
2023/04,1780,11,ヤマウラ,1
2023/04,1781,,国土総合建設,
2023/04,1782,,常磐開発,
2023/04,1783,12,アジアゲートホールディングス,1
2023/04,1784,,サワコー・コーポレーション,
2023/04,1785,,ナナボシ,
2023/04,1786,11,オリエンタル白石,1
2023/04,1787,12,ナカボーテック,1
2023/04,1788,12,三東工業社,1
2023/04,1789,12,ＥＴＳホールディングス,1
2023/04,1790,,平和奥田,
2023/04,1791,,ニチハマテックス,
2023/04,1792,,みらい建設グループ,
2023/04,1793,12,大本組,1
2023/04,1794,,モリショー,
2023/04,1795,12,マサル,1
2023/04,1796,,トヨタウッドユーホーム,
2023/04,1797,,藤木工務店,
2023/04,1798,12,守谷商会,1
2023/04,1799,12,第一建設工業,1
2023/04,1800,,利根地下技術,
2023/04,1801,11,大成建設,1
2023/04,1802,11,大林組,1
2023/04,1803,11,清水建設,1
2023/04,1804,,佐藤工業,
2023/04,1805,11,飛島建設,1
2023/04,1806,,ＡＣリアルエステート,
2023/04,1807,12,佐藤渡辺,1
2023/04,1808,11,長谷工コーポレーション,1
2023/04,1809,,冨士工,
2023/04,1810,11,松井建設,1
2023/04,1811,12,銭高組,1
2023/04,1812,11,鹿島,1
2023/04,1813,11,不動テトラ,1
2023/04,1814,11,大末建設,1
2023/04,1815,11,鉄建建設,1
2023/04,1816,,安藤建設,
2023/04,1817,,ＫＣ,
2023/04,1818,,日産建設,
2023/04,1819,,日鉄テックスエンジ,
2023/04,1820,11,西松建設,1
2023/04,1821,11,三井住友建設,1
2023/04,1822,11,大豊建設,1
